Ranking,Country Name,GPD,geounit,iso3
156,Sierra Leone,3981,SierraLeone,SLE
157,Swaziland,3770,Swaziland,SWZ
158,Suriname,3570,Suriname,SUR
159,Guyana,3437,Guyana,GUY
160,Maldives,3379,Maldives,MDV
161,Burundi,3133,Burundi,BDI
162,South Sudan,2914,SouthSudan,SSD
163,Timor-Leste,2498,Timor-Leste,TLS
164,Lesotho,2267,Lesotho,LSO
165,Bhutan,2115,Bhutan,BTN
166,Liberia,2111,Liberia,LBR
167,Djibouti,1894,Djibouti,DJI
168,Central African Republic,1780,CentralAfricanRepublic,CAF
169,Belize,1743,Belize,BLZ
170,Cabo Verde,1636,CaboVerde,CPV
171,San Marino,1592,SanMarino,SMR
172,Seychelles,1405,Seychelles,SYC
173,Antigua and Barbuda,1398,AntiguaandBarbuda,ATG
174,St. Lucia,1385,St.Lucia,LCA
175,Solomon Islands,1184,SolomonIslands,SLB
176,Guinea-Bissau,1155,Guinea-Bissau,GNB
177,Grenada,1027,Grenada,GRD
178,The Gambia,965,TheGambia,GMB
179,St. Kitts and Nevis,903,St.KittsandNevis,KNA
180,Samoa,786,Samoa,WSM
181,St. Vincent and the Grenadines,775,St.VincentandtheGrenadines,VCT
182,Vanuatu,773,Vanuatu,VUT
183,Comoros,620,Comoros,COM
184,Dominica,520,Dominica,DMA
185,Tonga,403,Tonga,TON
186,São Tomé and Príncipe,350,SãoToméandPríncipe,STP
187,Federated States of Micronesia,322,FederatedStatesofMicronesia,FSM
188,Palau,293,Palau,PLW
189,Marshall Islands,183,MarshallIslands,MHL
190,Kiribati,167,Kiribati,KIR
191,Tuvalu,34,Tuvalu,TUV
